Āfrika	Afrika
Roberts Bēnkens	Robert Louis Behnken
Persija	Persien
Jalmars Rīsers-Larsens	Hjalmar Riiser-Larsen
Spišske Vlahi	Spišské Vlachy
Šeins Batjē	Shane Battier
Danjels Moreno	Daniel Moreno
Benga	Benga (DJ)
Eufemiano Fuentess	Eufemiano Fuentes
Ford Fusion	Ford Fusion (Europa)
SSOT	SSOT
Velēna	Grassode
Kermoda lācis	Kermodebär
Rokitnes rajons	Rajon Rokytne (Riwne)
Keselaida	Kesselaid
Vilis Lācis	Vilis Lācis
Starptautiskā hokeja līga (1992—1996)	Internationale Hockey-Liga
Endijs Makijs	Andy McKee
Kongo beznagu ūdrs	Kleinkrallen-Fingerotter
GRAU indekss	GRAU-Index
Mušu dzimta	Echte Fliegen
MIPS arhitektūra	MIPS-Architektur
Pasaules hokeja asociācija	World Hockey Association
Aralikas rajons	Aralık
Hologrāfija	Holografie
Ņidzica	Nidzica
Ulysses	Ulysses (Begriffsklärung)
Kirgīzijas PSR ģerbonis	Wappen der Kirgisischen SSR
Dalmācija	Dalmatien
Love Is War	Love Is War
Supermens 3	Superman III – Der stählerne Blitz
Baltastes tropu jūrasputns	Weißschwanz-Tropikvogel
Džonatans Tēvzs	Jonathan Toews
Bamenda	Bamenda
Andelska Hora	Andělská Hora ve Slezsku
Anžela Brice	Andžela Brice
Džuzepe Marija Krespi	Giuseppe Maria Crespi
Kails Vilsons	Kyle Wilson (Eishockeyspieler)
Kazahstānas Futbola savienība	Qasaqstannyng Futbol Federazijassy
Grumman X-29	Grumman X-29
Džaisuma Saidi Ndure	Jaysuma Saidy Ndure
Rolfs Serensens	Rolf Sørensen
Eduards Eihvalds	Karl Eduard Eichwald
Ronaldu	Ronaldo
Kristijs Brauns	Christy Brown
Dūkurpīle	Weißrücken-Pfeifgans
Abjada rags	Ras al Abiad
Control	Control (Album)
Mazā degunradžvabole	Kopfhornschröter
Floridas krūmu sīlis	Florida-Buschhäher
Rietumantarktīda	Westantarktika
Vojtehs Polāks	Vojtěch Polák
Jirži Sekāčs	Jiří Sekáč
Dudince	Dudince
Intelsat 23	Intelsat 23
Kaka (futbolists)	Kaká
Rožsārtā bērzlape	Harter Zinnober-Täubling
Detvas apriņķis	Okres Detva
Colin McRae: DiRT	Colin McRae: Dirt
Dmitrijs Cvetkovs	Dmitri Alexandrowitsch Zwetkow
Dzeloņcūkveidīgo apakškārta	Stachelschweinverwandte
Landonas "Knights"	London Knights
Trenčanske Teplice	Trenčianske Teplice
Dzeltenbrūnā apšubeka	Birken-Rotkappe
Unity (SKS)	Unity (ISS)
S.H.E	S.H.E
Hēlijs-3	Helium-3
Nīderlandiešu sakāmvārdi (glezna)	Die niederländischen Sprichwörter
Ludvigs Gumplovičs	Ludwig Gumplowicz
Nacionālsociālistiskais melnais metāls	National Socialist Black Metal
Sojuz TMA-15	Sojus TMA-15
Stambulas ils	Istanbul (Provinz)
Tartu "Big Diamonds"	Tartu Big Diamonds
STS-123	STS-123
Ugļegorska	Uglegorsk
Dekoratīvās žurkas	Farbratte
Juka Rahja	Jukka Rahja
Hemiluminiscence	Chemilumineszenz
Saipla krasts	Siple-Küste
The Unforgettable Fire	The Unforgettable Fire
Žaks Binē	Jacques Philippe Marie Binet
Bicova	Bützow
Dasova	Dassow
Alfreda Vēgenera institūts	Alfred-Wegener-Institut
Vilhelms Neimanis	Wilhelm Neumann (Kunsthistoriker)
Verschwende Deine Zeit	Verschwende deine Zeit
Vārīne	Warin
Džeremijs Jablonskis	Jeremy Yablonski
Libtēna	Lübtheen
Gnoiene	Gnoien
Patriss Beržerons	Patrice Bergeron
70. Kinoakadēmijas balva	Oscarverleihung 1998
Sergejs Kožans	Sergejs Kožans
Marlova	Marlow
Ričards Mastrakjo	Richard Alan Mastracchio
Dēmica	Dömitz
Švāna	Schwaan
Grābova	Grabow (Elde)
Rērika	Rerik
Krakovamzē	Krakow am See
Kens Grifijs	Ken Griffey junior
Victoria	Victoria
Staņislavs Olijars	Staņislavs Olijars
Tamperes "Ilves"	Tampereen Ilves
Vadims Vasiļevskis	Vadims Vasiļevskis
Stīvens Svonsons	Steven Ray Swanson
Bārnijs Frenks	Barney Frank
Aleksandrs Samoilovs	Aleksandrs Samoilovs
Karls Jūhans Bergmans	Carl Johan Bergman
Aleksandrs Sjomins	Alexander Walerjewitsch Sjomin
Džons Tavaress	John Tavares
Raivis Belohvoščiks	Raivis Belohvoščiks
Dalainūrs	Hulun-See
Patriks Marlo	Patrick Marleau
Dāniels Sēdins	Daniel Sedin
Juris Silovs (riteņbraucējs)	Juris Silovs (Radsportler)
Aleksandrs Koļinko	Aleksandrs Koļinko
Ladainians Tomlinsons	LaDainian Tomlinson
Vilanova de Foškoa	Vila Nova de Foz Côa
Džeisons Speca	Jason Spezza
Hākons Sarkanais	Haakon (Schweden)
Jusi Jokinens	Jussi Jokinen
Frīdrihs Fromholds Martenss	Friedrich Fromhold Martens
Renārs Kaupers	Renārs Kaupers
Siltā fronte	Warmfront
Sigurds	Siegfried der Drachentöter
Jaunzēlandes paceplīšu dzimta	Maorischlüpfer
Spišske Podhradje	Spišské Podhradie
Moldāvijas PSR ģerbonis	Wappen der Moldauischen SSR
Kriss Vrenna	Chris Vrenna
Drošības aģenti V.A.I.R.O.G.S	Marvel’s Agents of S.H.I.E.L.D.
ET	ET
Edijs Hauss	Eddie House
Hidra	Hydra
Ville Peltonens	Ville Peltonen
Sinovīts	Synovitis
2011. gada FIBT pasaules čempionāts	Bob-Weltmeisterschaft 2011
Valentīns Bondarenko	Walentin Wassiljewitsch Bondarenko
Žaks Plante	Jacques Plante
Hovijs Morencs	Howie Morenz
Arts Ross	Art Ross
Pastavi	Pastawy
Mihalis Kakiuzis	Michalis Kakiouzis
Grieķi	Griechen
Jere Lehtinens	Jere Lehtinen
Jurijs Lončakovs	Juri Walentinowitsch Lontschakow
Peters Štjastnijs	Peter Šťastný
Fon Keizerlingi	Keyserlingk (Adelsgeschlecht)
Atlantijas divīzija	Atlantic Division
Džeimss Nīls	James Neal
SCORE (pavadonis)	SCORE (Satellit)
TWiiNS	Twiins
Banska Bistricas apriņķis	Okres Banská Bystrica
Urban Symphony	Urban Symphony
Garlībs Merķelis	Garlieb Helwig Merkel
Košices apkārtnes apriņķis	Okres Košice-okolie
Neiklostere	Neukloster
2012. gada Vasaras Olimpisko spēļu rīkotājpilsētas izvēle	Bewerbungen für die Olympischen Sommerspiele 2012
Neištate-Glēve	Neustadt-Glewe
Kamotu jūra	Camotes-See
Edgars Masaļskis	Edgars Masaļskis
Indulis Emsis	Indulis Emsis
Vācijas basketbola Bundeslīga	Basketball-Bundesliga
Kristīne Opolais	Kristīne Opolais
Džeina Komerforda	Jane Comerford
Nils Muižnieks	Nils Muižnieks
Inese Galante	Inessa Galante
Baiba Skride	Baiba Skride
Jeļena Blaževiča	Jeļena Blaževiča
Nora Bumbiere	Nora Bumbiere
Antilopvāveres	Antilopenziesel
Hulīna	Hulín
Salomeja Zaksaite	Salomėja Zaksaitė
Deimante Daulīte	Deimantė Daulytė
Nipmuki	Nipmuck
Fītinghofi	Vietinghoff
Angolas basketbola izlase	Angolanische Basketballnationalmannschaft
Boriss Grebenščikovs	Boris Borissowitsch Grebenschtschikow
Sausā adata	Kaltnadelradierung
Tinējsmecernieku dzimta	Blattroller
Markuss Brauns	Marcus Brown
Rongelapa	Rongelap-Atoll
Melodiskais hārdkors	Melodic Hardcore
Latvijas brīvības cīņas	Lettischer Unabhängigkeitskrieg
Null	Nullwert
Uzbrucējs (hokejs)	Angriffsspieler (Eishockey)
Lindons Rašs	Lyndon Rush
Portimauna	Portimão
Latvijas upju uzskaitījums	Liste der Flüsse in Lettland
Lavazza	Lavazza
Dienvidkorejas futbola izlase	Südkoreanische Fußballnationalmannschaft
Izjuma	Isjum
Kikbokseris (filma)	Karate Tiger 3 – Der Kickboxer
Ladoga	Ladoga
Rejs Čārlzs	Ray Charles
Softbols 2008. gada Vasaras Olimpiskajās spēlēs	Olympische Sommerspiele 2008/Softball
Lakšadvīpu jūra	Lakkadivensee
Bjarozas rajons	Rajon Bjarosa
Koržeņevskas smaile	Pik Korschenewskaja
Līga Glāzere	Līga Glāzere
Liptovski Mikulāšas apriņķis	Okres Liptovský Mikuláš
Greislenda	Graceland
Hipatija hronika	Hypatiuschronik
Karš Irākā	Irakkrieg
1981. gada NHL drafts	NHL Entry Draft 1981
Tips 59	Type 59
Longview	Longview (Lied)
Dark Horse	Dark Horse (Nickelback-Album)
Syncom	Syncom
Ani	Ani (historische Stadt)
1996. gada Tour de France	Tour de France 1996
Album of the Year	Album of the Year
Verterezers	Wörthersee
Trampa tornis (Čikāga)	Trump International Hotel and Tower (Chicago)
Monreālas "Maroons"	Montreal Maroons
Gruzijas PSR ģerbonis	Wappen der Georgischen SSR
Profesionālā šaha asociācija	Professional Chess Association
Pjotrs Sčastļivijs	Pjotr Wassiljewitsch Stschastliwy
Kaulu smadzenes	Knochenmark
Termīti	Termiten
Anikets	Anicetus
Veļki Krtīšas apriņķis	Okres Veľký Krtíš
Vitālijs Masols	Witalij Massol
L2TP	Layer 2 Tunneling Protocol
Sarejas universitāte	University of Surrey
Krozjē rags	Kap Crozier
Suhovola	Suchowola
Party in the U.S.A.	Party in the U.S.A.
Planārs grafs	Planarer Graph
Ukrainas PSR ģerbonis	Wappen der Ukrainischen SSR
Žerārs Grizē	Gérard Grisey
Kārlis II	Karl II.
Sudānas himna	Nahnu dschund Allah dschund al-watan
Turčanske Teplices apriņķis	Okres Turčianske Teplice
H-2 (nesējraķešu saime)	H-II
Parastā daiļspāre	Große Pechlibelle
Belija (sala)	Bely (Insel)
Košice III	Okres Košice III
Jānis Ķipurs	Jānis Ķipurs
Jerda	Jörd
Mastodon	Mastodon (Band)
Fēru ponijs	Färöerpony
Tour de Pologne	Polen-Rundfahrt
Tempela—Tatla komēta	55P/Tempel-Tuttle
Rāznas nacionālais parks	Nationalpark Rāzna
GSM-R	GSM-R
Bānovce pie Bebravas	Bánovce nad Bebravou
Kalabi—Jau varietāte	Calabi-Yau-Mannigfaltigkeit
Nora Džonsa	Norah Jones
Stīvens Holkombs	Steven Holcomb
Alfonsīna Strada	Alfonsina Strada
Stīvens Džonta	Stephen Gionta
Giraltovce	Giraltovce
Pulse	Pulse (Album)
Gravity Falls	Willkommen in Gravity Falls
Jonu mikroskops	Feldionenmikroskop
Explorer 3	Explorer 3
Jorma Ollila	Jorma Ollila
Mikēle Bartoli	Michele Bartoli
Borislavs Ivkovs	Borislav Ivkov
Dzežgoņa	Dzierzgoń
Žans Klods Karjērs	Jean-Claude Carrière
Čarna Voda	Czarna Woda
Emīls Bretšneiders	Emil Bretschneider
Oļegs Ostapenko	Oleg Nikolajewitsch Ostapenko
Brodņicas apriņķis	Powiat Brodnicki
Rock Around the Clock	Rock Around the Clock
Burial	Burial
Valgava	Wallgau
Upsilon Andromedae d	Ypsilon Andromedae d
Deguna apakšējā gliemežnīca	Concha nasalis inferior
SAP (uzņēmums)	SAP
Derons Kvints	Deron Quint
Tajs Kobs	Ty Cobb
VEF I-16	VEF Irbitis I-16
DistroWatch	Distrowatch
Explorer 2	Explorer 2
Valērijs Pustovoitenko	Walerij Pustowoitenko
Toms Hikss	Tom Hicks
Daņiils Linčevskis	Daniil Lwowitsch Lintschewski
Nikolajs Berzarins	Nikolai Erastowitsch Bersarin
Ronijs Brūers	Ronnie Brewer
Bobs Makado	Bob McAdoo
Sergejs Gončars	Sergei Wiktorowitsch Gontschar
Nikolajs Habibuļins	Nikolai Iwanowitsch Chabibulin
Gijs Leflērs	Guy Lafleur
Jāzeps Vītols	Jāzeps Vītols
Arvīds Jurgens	Arvīds Jurgens
Helmuts Balderis	Helmuts Balderis
Dešons Stīvensons	DeShawn Stevenson
Barts Bermans	Bart Berman
Vilems van Elsts	Willem van Aelst
Ralfs Šūmanis	Ralf Schumann
Džefs Skiners	Jeff Skinner
Kriss Prongers	Chris Pronger
Savojas Umberto II	Humbert II. (Savoyen)
Jakobs Delagardijs	Jakob De la Gardie
Marks Štreits	Mark Streit
Vjačeslavs Fetisovs	Wjatscheslaw Alexandrowitsch Fetissow
Kristiāns Jāks Petersons	Kristian Jaak Peterson
Ilmārs Bricis	Ilmārs Bricis
Valērijs Žolnerovičs	Valērijs Žolnerovičs
Džimers Fredete	Jimmer Fredette
Vinss Lombardi	Vince Lombardi
Andrāšs Adorjāns	András Adorján (Schachspieler)
Baltijas jūras divīzija	Ostsee-Division
Vladimirs Lindermans	Wladimir Iljitsch Linderman
Racibožas apriņķis	Powiat Raciborski
Berijs Vilmors	Barry Eugene Wilmore
Terijs Virtss	Terry Wayne Virts
Oseka	Osiek (Powiat Staszowski)
Kuzņa Raciborska	Kuźnia Raciborska
Vozņiki	Woźniki
Pščinas apriņķis	Powiat Pszczyński
Bo Makelebs	Bo McCalebb
Darens Kolisons	Darren Collison
Elektroniskās dāvanu kartes	Geschenkkarte
Huans Hosē Floress	Juan José Flores
Kozeglovi	Koziegłowy
Glivices apriņķis	Powiat Gliwicki
Pilica (pilsēta)	Pilica
Dobra (Lielpolija)	Dobra (Großpolen)
Bēns Zeitlins	Benh Zeitlin
Denijs Grīns	Danny Green (Basketballspieler)
Jans Brenans	Ian Brennan (Schauspieler)
Aleksandrs Skvorcovs	Alexander Alexandrowitsch Skworzow
Latvijas Nacionālā opera	Lettische Nationaloper
Bataanas Nāves maršs	Todesmarsch von Bataan
Espens Knutsens	Espen Knutsen
Pleševa	Pleszew
Pišas apriņķis	Powiat Piski
Ujsce	Ujście
Pila	Piła
Visoka	Wysoka
Ščitno apriņķis	Powiat Szczycieński
Ostrudas apriņķis	Powiat Ostródzki
Mendzihoda	Międzychód
Krobja	Krobia
Edgars Snovs	Edgar Snow
Nove Skalmežice	Nowe Skalmierzyce
Skoki	Skoki
Ruslans Mingazovs	Ruslan Mingazov
Panama (province)	Provinz Panamá
Arvīds Macijausks	Arvydas Macijauskas
Stīvens Robinsons	Stephen Kern Robinson
Vītenis	Vytenis
Azriēls no Žironas	Azriel von Gerona
Eriks Moraless	Erik Morales
Rucjane-Ņida	Ruciane-Nida
Jaunutis	Jaunutis
Marko Popovičs	Marko Popović
Epolethaizivis	Epaulettenhaie
Gravitācijas lauks	Gravitationsfeld
Johanness Āviks	Johannes Aavik
Manuels Amadors Gerrero	Manuel Amador Guerrero
Kategorija:Mākslīgais intelekts	Kategorie:Künstliche Intelligenz
Pašaizdegšanās temperatūra	Zündtemperatur
Mislibožas apriņķis	Powiat Myśliborski
Ščecinekas apriņķis	Powiat Szczecinecki
Grifices apriņķis	Powiat Gryficki
Valērijs Ļukins	Waleri Wiktorowitsch Ljukin
Dobra (Rietumpomože)	Dobra (Łobez)
Lipjani	Lipiany
Alekss Rodrigess	Alex Rodríguez (Baseballspieler)
Polices apriņķis	Powiat Policki
Tšciņskozdroja	Trzcińsko-Zdrój
Resko	Resko
Muslims Magomajevs	Müslüm Maqomayev (Sänger)
Ferdinands Ketlers	Ferdinand Kettler
Krīvica	Crivitz
Parhima	Parchim
SKS 39. ekspedīcija	ISS-Expedition 39
Goldberga (Mēklenburga)	Goldberg (Mecklenburg)
Brīele	Brüel
SKS 40. ekspedīcija	ISS-Expedition 40
Libca	Lübz
SKS 41. ekspedīcija	ISS-Expedition 41
Nails Jakupovs	Nail Railowitsch Jakupow
Gistāfs Delors	Gustaaf Deloor
Jarkanta	Yarkant (Fluss)
Šeins Moslijs	Shane Mosley
Beagle 2	Beagle 2
Olesņicas apriņķis	Powiat Oleśnicki
Maksims Galkins	Maxim Alexandrowitsch Galkin
Pavlo Lazarenko	Pawlo Lasarenko
Kubinkas bruņutehnikas muzejs	Panzermuseum Kubinka
Volters Bērlijs Grifins	Walter Burley Griffin
Semjons Varlamovs	Semjon Alexandrowitsch Warlamow
Isuzu Mu Wizard	Opel Frontera
Aleksandrs Kovaļevskis	Alexander Onufrijewitsch Kowalewski
Pēteris Lasī	Peter von Lacy
Džeimss Heriss Simonss	James Simons
Vladimirs Levenšteins	Wladimir Iossifowitsch Lewenstein
Dzilnu apakšdzimta	Echte Spechte
Žoans Fusters	Joan Fuster
Maikls Metjūss	Michael Matthews (Radrennfahrer)
Bobijs Raiens	Bobby Ryan
Metjū Kārls	Mathieu Carle
Džeimijs Džonsons	Jamie Johnson (Eishockeyspieler)
Šaloms Švarcs	Shalom H. Schwartz
Edvards Pavlovskis	Edvards Pavlovskis
Marcels Hosa	Marcel Hossa
Lērincs Sabo	Lőrinc Szabó
Bro Grīrs	Breaux Greer
Jarko Immonens	Jarkko Immonen (Eishockeyspieler, 1982)
Villijs Mejs	Willie Mays
Šauļus Štombergs	Saulius Štombergas
Peteri Koponens	Petteri Koponen
Birgers Brūsa	Birger Brosa
Ritus Krjauklis	Ritus Krjauklis
Maikls Formens	Michael James Foreman
Dereks Būgārds	Derek Boogaard
Kristofs Frīdrihs Neanders	Christoph Friedrich Neander
Frēdriks Lindstrems	Fredrik Lindström (Biathlet)
Ilmārs Kullams	Ilmar Kullam
Viktors Ščerbatihs	Viktors Ščerbatihs
Sojuz TMA-11	Sojus TMA-11
Korejas Republikas futbola izlase 2010. gada Pasaules kausa finālturnīrā	Fußball-Weltmeisterschaft 2010/Südkorea
Lidojums	Flight (2012)
Person of Interest	Person of Interest
Annātes	Annaten
Ran	Ran (Film)
Bahamu premjerministri	Liste der Premierminister der Bahamas
I'm Going Slightly Mad	I’m Going Slightly Mad
Konstantīns Raudive	Konstantin Raudive
Rēna	Rehna
Bros Music	Icezone Music
Pēteris Kubiļiūns	Petras Kubiliūnas
Armīns fon Gerkāns	Armin von Gerkan
Žanis Lipke	Jānis Lipke
Oskars Dankers	Oskars Dankers
Hāgenova	Hagenow
2008. gada FIBT pasaules čempionāts	Bob-Weltmeisterschaft 2008
Kīlungsborna	Kühlungsborn
Štrasburga (Ukermarka)	Strasburg (Uckermark)
Bīronu dzimta	Biron von Curland
Matiass Hepfners	Matthias Höpfner
TanDEM-X	TanDEM-X
Lāge	Laage
Unterezers	Untersee (Bodensee)
Vilhelms fon Firstenbergs	Johann Wilhelm von Fürstenberg
Vācu ordeņa vācmestri	Liste der Deutschmeister
Labiovelārs berzenis	Labialisierter stimmhafter velarer Approximant
Vācu ordeņa Prūsijas mestri	Liste der Landmeister von Preußen
Brandenburgas Vilhelms	Wilhelm von Brandenburg-Ansbach-Kulmbach
Baltijas Universitāte	Baltische Universität
Epīra	Epirus (historische Region)
Kumersdorfa	Kummersdorf-Gut
Panamarenko	Panamarenko
Annopole	Annopol
Viestura ordenis	Westhard-Orden
Pļaviņas	Pļaviņas
Ozimeka	Ozimek
Ņūtons (nozīmju atdalīšana)	Newton
Tallinas Aleksandra Ņevska katedrāle	Alexander-Newski-Kathedrale (Tallinn)
Linspire	Linspire
Guntis Galviņš	Guntis Galviņš
Vostok-4	Wostok 4
1999. gada FIFA Pasaules kauss sievietēm	Fußball-Weltmeisterschaft der Frauen 1999
1983. gada NHL drafts	NHL Entry Draft 1983
Ņižņijnovgorodas "Torpedo"	Torpedo Nischni Nowgorod
Vasiļjevs	Wassiljew
Lutera roze	Lutherrose
Pālmers	Palmer (Familienname)
Look	LOOK
Braiens Īno	Brian Eno
Rallijreids	Rallye Raid
Hēršijas "Bears"	Hershey Bears
Viliči	Huilliche
Eiropas veselības apdrošināšanas karte	Auslandskrankenschein
Višogroda	Wyszogród
Serocka	Serock
Nometinājuma josla	Ansiedlungsrayon
Ansis Buševics	Ansis Buševics
Vēstules piegādes aģents	Mail Delivery Agent
Praška	Praszka
Jēkabs Alksnis	Jakow Iwanowitsch Alksnis
Proteīnūrija	Proteinurie
Kauja pie Kalkas upes	Schlacht an der Kalka
Ansi Salmela	Anssi Salmela
Generic Routing Encapsulation	Generic Routing Encapsulation Protocol
2009. gada Austrālijas atklātais čempionāts tenisā — Vīriešu vienspēles	Australian Open 2009/Herreneinzel
Javas smirdīgais āpsis	Sunda-Stinkdachs
Engures ezers	Engure-See
Ķeriet Smārtu! (filma)	Get Smart (2008)
Oberosts	Ober Ost
Rētošana	Skarifizierung
Rikardu Karvalju	Ricardo Carvalho
Gāziosmanpašā rajons	Gaziosmanpaşa
E-pasta klients	E-Mail-Programm
Rainbow	Rainbow (Album)
Antans Baranausks	Antanas Baranauskas
Atsvabinātais Džango	Django Unchained
Antarktikas šaurums	Antarctic-Sund
Dzjalošice	Działoszyce
Implikatūra	Implikatur
Dienvidu polārā klijkaija	Antarktikskua
Sausās ielejas	Antarktische Trockentäler
Frīdrihs fon Bergs	Friedrich Wilhelm Rembert von Berg
Bertolds	Berthold (Bischof)
Baucenes apriņķis	Landkreis Bautzen
Francburga	Franzburg
Ribnica-Damgartene	Ribnitz-Damgarten
Rihtenberga	Richtenberg
Torgelova	Torgelow
Jarmene	Jarmen
Galileo	Galileo
Grimmene	Grimmen
Putbusa	Putbus
Penkuna	Penkun
2013. gada UEFA Čempionu līgas fināls	UEFA-Champions-League-Finale 2013
Egezīne	Eggesin
Loica	Loitz
Tribzēse	Tribsees
Antero Nītimeki	Antero Niittymäki
GEOS (16 bitu operētājsistēma)	GEOS (8-Bit-Betriebssystem)
Bruklinas "Nets"	Brooklyn Nets
Rassvet (SKS)	Rasswet
Oomph!	Oomph!
Sverdlovska	Swerdlowsk (Ukraine)
Medves ezers	Miedwie
Sarkanais tirānmušķērājs	Rubintyrann
Hojņices apriņķis	Powiat Chojnicki
Redīmeids	Objet trouvé
PSG Zlín	HC Zlín
Swans	Swans
Entonijs Koldivejs	Anthony Coldeway
Kelča	Kelč
Valters Leistikovs	Walter Leistikow
Entonijs Stjuarts	Anthony Stewart
1991. gada Pasaules čempionāts šosejas riteņbraukšanā	UCI-Straßen-Weltmeisterschaften 1991
Badmintons 2008. gada Vasaras Olimpiskajās spēlēs — Sieviešu vienspēles	Olympische Sommerspiele 2008/Badminton (Dameneinzel)
Terņivka	Terniwka
Mars Climate Orbiter	Mars Climate Orbiter
Bada spēles: Spēle ar uguni	Die Tribute von Panem – Catching Fire
Anti-Flag	Anti-Flag
Ķirmju dzimta	Nagekäfer
Dionīsiji	Dionysien
Antiatlass	Antiatlas
Antikrists (filma)	Antichrist (Film)
Maiks Ričardss	Mike Richards
Čada ieplaka	Tschadbecken
Alan Wake	Alan Wake
Sandhērstas Karaliskā militārā akadēmija	Royal Military Academy Sandhurst
Kortnija Kardašjana	Kourtney Kardashian
Karaliskie Antigvas un Barbudas aizsardzības spēki	Antigua and Barbuda Defence Force
Bāze	Base
Dārziņš	Dārziņš
Teikuma loceklis	Satzglied
Mars Polar Lander	Mars Polar Lander
Monogeneji	Hakensaugwürmer
Deep Space 2	Deep Space 2
Alvasetes "Balompie"	Albacete Balompié
Malasledus	Festeis
Luiss Aragoness	Luis Aragonés
1978. gada Pasaules čempionāts basketbolā	Basketball-Weltmeisterschaft 1978
Hahn	Hahn
1992. gada UCI šosejas riteņbraukšanas Pasaules kauss	Rad-Weltcup 1992
Janomamu valodas	Yanomam-Sprachen
Čehu vista	Tschechisches Huhn
Žņinas apriņķis	Powiat Żniński
Viļnohirska	Wilnohirsk
1904. gada Tour de France	Tour de France 1904
Kaldera kauss	Calder Cup
Antiļu straume	Antillenstrom
Kazahijas PSR ģerbonis	Wappen der Kasachischen SSR
Raibkakla ūdrs	Fleckenhalsotter
Plateresko	Plateresker Stil
Kleščele	Kleszczele
Kontinentālie štati	Continental United States
Brazīlijas sieviešu basketbola izlase	Brasilianische Basketballnationalmannschaft der Damen
Nokia tune	Nokia-Klingelton
Seda	Seda (Lettland)
Deniss Kokarevs	Denis Sergejewitsch Kokarew
Medzilaborce	Medzilaborce
Londonas maratons	London-Marathon
Factory Records	Factory Records
Standartatmosfēra	Normatmosphäre
Gāzu uzbrukums Halabdžai	Giftgasangriff auf Halabdscha
Viktors	Victor
Sojuz (kosmosa kuģu sērija)	Sojus (Raumschiff)
JFK Olimps	JFK Olimps
1957. gada Eiropas čempionāts basketbolā	Basketball-Europameisterschaft 1957
Hermods	Hermodr
Dzeltenpieres jakāns	Gelbstirn-Blatthühnchen
Memoirs of an Imperfect Angel	Memoirs of an Imperfect Angel
Oulujervi	Oulujärvi
Opel Insignia	Opel Insignia
Baltijas vairogs	Baltischer Schild
Klemens Bauers	Klemen Bauer
Ilūkste	Ilūkste
Indekss (datubāze)	Datenbankindex
Parastā aktīnija	Pferdeaktinie
Norma	Norma
Indriķa hronika	Heinrichs Livländische Chronik
Žubītes	Edelfinken
Kritušie eņģeļi	Höllensturz
1975. gada Tour de France	Tour de France 1975
Františeks Kaberle	František Kaberle junior
Rail Baltica	Rail Baltica
Timofejevs	Timofejew
Ščirka	Szczyrk
Skubijs Dū 2: Briesmoņi savā vaļā	Scooby Doo 2 – Die Monster sind los
Shenzhou 9	Shenzhou 9
NASDAQ OMX Helsinki	Börse Helsinki
Laukakmens	Felsblock
Zolote	Solote
Zellis	Geselle
Antifosfolipīdu sindroms	Antiphospholipid-Syndrom
Aleksandrs Maļcevs	Alexander Nikolajewitsch Malzew
Vingrošana 2012. gada Vasaras Olimpiskajās spēlēs	Olympische Sommerspiele 2012/Turnen
ITT Corporation	ITT Corporation
Islandes ķērpis	Cetraria islandica
Maskarēnu žņaudzējčūskas	Bolyerschlangen
Vladimirs Kamešs	Vladimirs Kamešs
Kuunkuiskaajat	Kuunkuiskaajat
Ancirabe	Antsirabe
Uda	Tschuna
Duelis (filma)	Duell (Film)
Naklo apriņķis	Powiat Nakielski
ATP ranga pirmo numuru saraksts	Liste der Weltranglistenersten im Herrentennis (Einzel)
Zivju dzenīši	Alcedo (Gattung)
Gibraltāra futbola izlase	Gibraltarische Fußballnationalmannschaft
Jūras ūdele	Seenerz
Ermita salas	Hermite-Inseln
Garvolina	Garwolin
Jānis Jaunsudrabiņš	Jānis Jaunsudrabiņš
Radzjonkova	Radzionków
Zivju cauna	Fischermarder
Adatu printeris	Matrixdrucker
Amadeiusa ezers	Lake Amadeus
Underclass Hero	Underclass Hero
Betesda	Bethesda (Maryland)
Kapteinis (sports)	Mannschaftskapitän
Krievijas Konstitucionālā tiesa	Verfassungsgericht der Russischen Föderation
Čarna Bjalostocka	Czarna Białostocka
Padomju pils	Palast der Sowjets
Kari Lehtonens	Kari Lehtonen
Aleksejs Jašins	Alexei Walerjewitsch Jaschin
Eiropas autoceļš E03	Europastraße 3
Jirži Lāla	Jiří Lála
Pagrīdes impērija	Boardwalk Empire
Timokrātija	Timokratie
Antuāns Karons	Antoine Caron
Korijs Mērfijs	Cory Murphy
Attack on Titan	Attack on Titan
Ziemeļeiropas basketbola līga	Nordeuropäische Basketball-Liga
Madona	Madona
Komārno apriņķis	Okres Komárno
Programmatūras aktīvu pārvaldība	Lizenzmanagement
Pottermore	Pottermore
FIBA slavas zāle	FIBA Hall of Fame
1978. gada NHL drafts	NHL Amateur Draft 1978
Toms Tibodo	Tom Thibodeau
Eiropas autoceļš E10	Europastraße 10
Južne	Juschne
Verušovas apriņķis	Powiat Wieruszowski
Antuāns Rusels	Antoine Roussel
Rezāvi Horasāna	Razavi-Chorasan
MenuetOS	MenuetOS
Ivaceviči	Iwazewitschy
Mohelnice	Mohelnice
Džeks Balmers	Jack Balmer
Tonijs Galopēns	Tony Gallopin
Antons Kurjanovs	Anton Alexejewitsch Kurjanow
Antons Volčenkovs	Anton Alexejewitsch Woltschenkow
2002. gada Pasaules čempionāts basketbolā	Basketball-Weltmeisterschaft 2002
Antons Babčuks	Anton Anatoljewitsch Babtschuk
Trigonālā singonija	Trigonales Kristallsystem
Prinseselizabete	Prinzessin-Elisabeth-Station
IRIS (Saules observatorija)	Interface Region Imaging Spectrograph
Kirovska	Kirowsk
Turner	Turner
